id,name,area,salary,experience,cnt_skills,key_skills,alternate_url
45876028,PHP - разработчик (Back-end developer),Омск,180000,2,9,"Laravel, MySQL, Git, HighLoad, REST API, Docker, Symfony, TDD, PostgreSQL",https://hh.ru/vacancy/45876028
54223173,Middle Backend developer (PHP),Калининград,180000,2,8,"Git, Linux, MySQL, PHP, ООП, Redis, Laravel, Symfony",https://hh.ru/vacancy/54223173
54784401,Backend PHP,Челябинск,180000,2,5,"Git, PHP, Laravel, Linux, Английский язык",https://hh.ru/vacancy/54784401
36939930,Разработчик бэкэнда,Санкт-Петербург,180000,2,4,"Node.js, JavaScript, MySQL, Git",https://hh.ru/vacancy/36939930
54654110,Backend developer с опытом разработки или желанием перейти на Go,Сочи,177700,2,4,"Golang, блокчейн, blockchain, Go",https://hh.ru/vacancy/54654110
54315537,Middle Backend-разработчик PHP (Yii2),Москва,175000,2,18,"Git, Yii, PostgreSQL, Yii2, PHP, SQL, Linux, Redis, Symfony, Laravel, MySQL, Docker, ООП, ClickHouse, Composer, Паттерны проектирования, MVC, Backend",https://hh.ru/vacancy/54315537
54397231,Middle Back-End Developer (Ruby),Санкт-Петербург,175000,2,8,"Ruby, PHP, reactjs, Elixir, SQL, PostgreSQL, Ruby On Rails, Redis",https://hh.ru/vacancy/54397231
54369750,Middle Backend Developer (Python),Москва,175000,2,5,"Python, SQL, Django Framework, PostgreSQL, Английский язык",https://hh.ru/vacancy/54369750
54114298,QA Backend Specialist (удаленно),Москва,175000,2,5,"Atlassian Confluence, Atlassian Jira, Git, Linux, SQL",https://hh.ru/vacancy/54114298
54294857,Backend PHP разработчик (Laravel),Москва,175000,2,6,"ООП, Laravel, PHP, Git, Linux, MySQL",https://hh.ru/vacancy/54294857
54270974,Backend-разработчик,Махачкала,175000,2,5,"MySQL, CSS, HTML, PHP, phpMyAdmin",https://hh.ru/vacancy/54270974
50829866,PHP Backend разработчик,Москва,175000,2,5,"Git, Symfony, Yii, PHP, Docker",https://hh.ru/vacancy/50829866
54571307,PHP разработчик (backend),Москва,175000,2,1,PHP,https://hh.ru/vacancy/54571307
54824477,Backend developer (Бэкенд разработчик),Санкт-Петербург,170000,2,14,"PHP, MySQL, Symfony, Git, ООП, Jetbrains Phpstorm, PHP5, Грамотность, PHP7, Composer, Backend, Рефакторинг кода, PHPUnit, SQL",https://hh.ru/vacancy/54824477
53812070,.Net Backend Developer,Санкт-Петербург,170000,2,8,"C#, MS SQL, MongoDB, RabbitMQ, Scrum, CI/CD, Разработка нового продукта, Agile Project Management",https://hh.ru/vacancy/53812070
54146355,"Web Developer, front-end JavaScript, back-end C#",Москва,170000,2,6,"Git, JavaScript, MS SQL Server, C#, .NET Framework, Node.js",https://hh.ru/vacancy/54146355
54666268,Backend-разработчик (PHP),Санкт-Петербург,170000,2,5,"Symfony, PostgreSQL, PHP, PHPUnit, Docker",https://hh.ru/vacancy/54666268
54493278,Back-end разработчик (laravel),Москва,170000,2,4,"HTML, CSS, laravel, PHP",https://hh.ru/vacancy/54493278
54003795,Backend developer C#,Москва,170000,2,1,C#,https://hh.ru/vacancy/54003795
54375581,Backend-разработчик (на PHP),Москва,165000,2,7,"HTML, Laravel, PHP, Lotus Symphony, Lumen, MySQL, MongoDB",https://hh.ru/vacancy/54375581
54635351,Backend developer (Node.js),Москва,165000,2,4,"Node.js, Linux, NodeJS, TypeScript",https://hh.ru/vacancy/54635351
54523379,"Python (Django, DRF) backend программист",Москва,165000,2,5,"Docker, Redis, Git, Linux, Python",https://hh.ru/vacancy/54523379
52686372,PHP Backend разработчик (удаленно),Москва,165000,2,4,"Git, Symfony, Yii, PHP",https://hh.ru/vacancy/52686372
54453983,Python Backend Developer Remote,Санкт-Петербург,160000,2,9,"Git, Docker, MongoDB, Notion, Docker-compose, Удаленная работа, GitHub, Continuous Integration, Английский язык",https://hh.ru/vacancy/54453983
54486087,Backend blockchain developer (Remote),Санкт-Петербург,160000,2,9,"Linux, Git, PostgreSQL, Bash, Английский язык, GraphQL, Blockchain, Node.js, Typescript",https://hh.ru/vacancy/54486087
54554622,Backend Middle+ Python/Django,Москва,160000,2,8,"Python, Golang, Docker, Docker-compose, Go, Django, MySQL, PostgreSQL",https://hh.ru/vacancy/54554622
54694124,Senior/Middle Java Developer (Backend),Санкт-Петербург,160000,2,6,"Spring Framework, PostgreSQL, Java, Camunda, WebFlux, Hibernate ORM",https://hh.ru/vacancy/54694124
52264376,Backend-разработчик (Node.js),Санкт-Петербург,160000,2,8,"NoSQL, API, Node.js, SQL, RabbitMQ, PostgreSQL, Backend, SaaS",https://hh.ru/vacancy/52264376
53337960,Программист (backend go developer),Санкт-Петербург,160000,2,6,"Java, Postgres, MongoDB, Blockchain, Hyperleger Fabric, GO",https://hh.ru/vacancy/53337960
54508238,Программист (backend java developer),Санкт-Петербург,160000,2,6,"Java, Postgres, MongoDB, Blockchain, Hyperleger Fabric, GO",https://hh.ru/vacancy/54508238
53081472,"C# developer junior / middle (.net, full-stack / back-end)",Москва,160000,2,6,".NET Framework, C#, MS SQL, LINQ, .NET Core, ASP.NET Core",https://hh.ru/vacancy/53081472
54693575,Middle Backend Developer (Golang / PHP),Санкт-Петербург,160000,2,7,"Golang, Git, PostgreSQL, k8s, Docker, Gitlab, Backend",https://hh.ru/vacancy/54693575
54569441,Backend разработчик Java/Spring,Москва,160000,2,5,"Android, Android SDK, SQLite, Java, Kotlin",https://hh.ru/vacancy/54569441
54560721,Backend-разработчик,Москва,160000,2,5,"Git, Node.js, MongoDB, PostgreSQL, MySQL",https://hh.ru/vacancy/54560721
53066640,Backend-разработчик (PHP),Ростов-на-Дону,160000,2,3,"Laravel, PHP, Базы данных",https://hh.ru/vacancy/53066640
54713518,Middle .NET Backend Developer,Новосибирск,155000,2,8,"Git, C#, Docker, RabbitMQ, .NET Framework, .NET Core, Kibana, SQL",https://hh.ru/vacancy/54713518
48957664,Middle .NET Backend Developer,Санкт-Петербург,155000,2,7,"Git, C#, Docker, RabbitMQ, Visual Studio C#, CI/CD, Kibana",https://hh.ru/vacancy/48957664
50396378,Backend-программист PHP (Senior),Владивосток,155000,2,6,"MySQL, PHP7, CSS, HTML, PostgreSQL, SQL",https://hh.ru/vacancy/50396378
54583000,Разработчик Back-end,Красноярск,150000,2,7,"Умение работать в условиях многозадачности, Умение адаптироваться, Мотивированность на результат обучения, Oracle Pl/SQL, JavaScript, CSS, HTML",https://hh.ru/vacancy/54583000
54582999,Разработчик Back-end,Новосибирск,150000,2,7,"Умение работать в условиях многозадачности, Умение адаптироваться, Мотивированность на результат обучения, Oracle Pl/SQL, JavaScript, CSS, HTML",https://hh.ru/vacancy/54582999
54582998,Разработчик Back-end,Томск,150000,2,7,"Умение работать в условиях многозадачности, Умение адаптироваться, Мотивированность на результат обучения, Oracle Pl/SQL, JavaScript, CSS, HTML",https://hh.ru/vacancy/54582998
54582996,Разработчик Back-end,Кемерово,150000,2,7,"Умение работать в условиях многозадачности, Умение адаптироваться, Мотивированность на результат обучения, Oracle Pl/SQL, JavaScript, CSS, HTML",https://hh.ru/vacancy/54582996
49221151,Backend developer (PHP),Москва,150000,2,11,"Symfony, PHP, MySQL, Redis, СУБД, Ориентация на результат, PHP7, ООП, Удаленная работа, Linux, Git",https://hh.ru/vacancy/49221151
54354487,Backend QA Engineer,Санкт-Петербург,150000,2,7,"Python, Git, exploratory, Анализ требований, Тестирование, Разработка нового продукта, Postman",https://hh.ru/vacancy/54354487
54676883,"Backend-разработчик (PHP, Go)",Москва,150000,2,11,"PHP, PostgreSQL, SQL, ООП, Git, MVC, PHP7, Symfony, NPM, Node.js, Linux",https://hh.ru/vacancy/54676883
54791123,Backend-разработчик,Екатеринбург,150000,2,7,"ООП, Gitlab, Git, Linux, Управление проектами, Системное мышление, SQL",https://hh.ru/vacancy/54791123
47879340,"Middle Backend разработчик, Санкт-Петербург",Нижний Новгород,150000,2,5,"Git, Node.js, Английский — B1 — Средний, JavaScript, MySQL",https://hh.ru/vacancy/47879340
47879339,"Middle Backend разработчик, Санкт-Петербург",Новосибирск,150000,2,5,"Git, Node.js, Английский — B1 — Средний, JavaScript, MySQL",https://hh.ru/vacancy/47879339
54628485,Back-end developer (PHP),Москва,150000,2,5,"CMS Bitrix, Redis, Elastic-search, PHP, Git",https://hh.ru/vacancy/54628485
54518187,Back-end developer (PHP),Челябинск,150000,2,5,"CMS Bitrix, Redis, Elastic-search, PHP, Git",https://hh.ru/vacancy/54518187
49487302,Backend - разработчик,Москва,150000,2,5,"JavaScript, Git, PostgreSQL, Node.js, PHP",https://hh.ru/vacancy/49487302
52839072,Backend-разработчик,Санкт-Петербург,150000,2,5,"Golang, Postgres, RabbitMQ, Git, Linux",https://hh.ru/vacancy/52839072
54156516,Middle PHP Developer (back-end разработчик веб-приложений) Lab4U,Москва,150000,2,5,"Git, MySQL, ООП, JavaScript, jQuery",https://hh.ru/vacancy/54156516
53334436,Backend-разработчик (Middle),Ростов-на-Дону,150000,2,5,"SQL, C#, DDD, Microsoft Access, С#",https://hh.ru/vacancy/53334436
53556616,Backend-разработчик (Middle),Калуга,150000,2,5,"SQL, C#, DDD, Microsoft Access, С#",https://hh.ru/vacancy/53556616
50028181,Backend-разработчик (Middle),Санкт-Петербург,150000,2,5,"SQL, C#, DDD, Microsoft Access, С#",https://hh.ru/vacancy/50028181
53334435,Backend-разработчик (Middle),Екатеринбург,150000,2,5,"SQL, C#, DDD, Microsoft Access, С#",https://hh.ru/vacancy/53334435
37423597,Middle Backend разработчик,Санкт-Петербург,150000,2,4,"Node.js, JavaScript, MySQL, Git",https://hh.ru/vacancy/37423597
54731266,JS Backend developer (Middle/Middle+),Нижний Новгород,150000,2,3,"PostgreSQL, Swagger, CI",https://hh.ru/vacancy/54731266
54417976,Middle Back-end программист/Python С++,Ростов-на-Дону,150000,2,1,Python,https://hh.ru/vacancy/54417976
50628165,Middle .NET Backend Developer (удаленно),Краснодар,145000,2,3,"C#, .NET Framework, .NET Core",https://hh.ru/vacancy/50628165
50630230,Middle .NET Backend Developer (удаленно),Томск,145000,2,3,"C#, .NET Framework, .NET Core",https://hh.ru/vacancy/50630230
54822830,"Backend разработчик, удаленно (автобизнес)",Ростов-на-Дону,140000,2,21,"Git, PHP, JavaScript, SQL, MySQL, CSS, 1С-Битрикс, CRM, MS SQL, Веб-программирование, 1С программирование, HTML, Битрикс 24, Битрикс24, Работа в CRM системе, Backend, Оптимизация запросов, HTML/CSS, API, PHP7.2, JS",https://hh.ru/vacancy/54822830
54802866,"Backend разработчик, удаленно (автобизнес)",Москва,140000,2,21,"Git, PHP, JavaScript, SQL, MySQL, CSS, 1С-Битрикс, CRM, MS SQL, Веб-программирование, 1С программирование, HTML, Битрикс 24, Битрикс24, Работа в CRM системе, Backend, Оптимизация запросов, HTML/CSS, API, PHP7.2, JS",https://hh.ru/vacancy/54802866
54802869,"Backend разработчик, удаленно (автобизнес)",Нижний Новгород,140000,2,21,"Git, PHP, JavaScript, SQL, MySQL, CSS, 1С-Битрикс, CRM, MS SQL, Веб-программирование, 1С программирование, HTML, Битрикс 24, Битрикс24, Работа в CRM системе, Backend, Оптимизация запросов, HTML/CSS, API, PHP7.2, JS",https://hh.ru/vacancy/54802869
54767159,"Backend разработчик, удаленно (автобизнес)",Краснодар,140000,2,21,"Git, PHP, JavaScript, SQL, MySQL, CSS, 1С-Битрикс, CRM, MS SQL, Веб-программирование, 1С программирование, HTML, Битрикс 24, Битрикс24, Работа в CRM системе, Backend, Оптимизация запросов, HTML/CSS, API, PHP7.2, JS",https://hh.ru/vacancy/54767159
54292842,JAVA-программист (Back-end),Краснодар,140000,2,8,"Hibernate ORM, Java, RabbitMQ, SQL, Spring Framework, Java Core, Удаленная работа, Docker-compose",https://hh.ru/vacancy/54292842
47878879,"Middle Backend разработчик (игры), Санкт-Петербург",Нижний Новгород,140000,2,6,"Английский — B1 — Средний, Node.js, JavaScript, Git, C++, Математическая статистика",https://hh.ru/vacancy/47878879
47878878,"Middle Backend разработчик (игры), Санкт-Петербург",Новосибирск,140000,2,6,"Английский — B1 — Средний, Node.js, JavaScript, Git, C++, Математическая статистика",https://hh.ru/vacancy/47878878
35914384,Middle NodeJS - разработчик (backend),Томск,140000,2,7,"Node.js, SQL, PostgreSQL, Git, NoSQL, JavaScript, Nestjs",https://hh.ru/vacancy/35914384
54786670,Middle backend разработчик (PHP),Санкт-Петербург,140000,2,6,"MySQL, Git, JavaScript, PostgreSQL, PHP, Laravel",https://hh.ru/vacancy/54786670
54329213,Backend-Developer Python (middle),Воронеж,140000,2,6,"Python, PostgreSQL, Git, Linux, ML, Flask",https://hh.ru/vacancy/54329213
54744689,Backend-разработчик (Middle),Екатеринбург,140000,2,5,"Git, Yii2, PHP, PostgreSQL, Linux",https://hh.ru/vacancy/54744689
51102047,Middle Backend Developer (PHP),Санкт-Петербург,140000,2,5,"MySQL, Git, PHP, SQL, Golang",https://hh.ru/vacancy/51102047
52852430,NodeJS (Backend) разработчик (Middle),Москва,140000,2,2,"Node.js, JavaScript",https://hh.ru/vacancy/52852430
54491037,Backend разработчик (PHP),Калининград,140000,2,3,"PHP, Laravel, MySQL",https://hh.ru/vacancy/54491037
51496861,QA automation engineer (Backend),Челябинск,136000,2,9,"JIRA, Confluence, Sharepoint, DataGrip/DBeaver, TeamCity, SOAP (REST), WSDL, Java, IntellijIdea",https://hh.ru/vacancy/51496861
54719864,Backend-разработчик Node.js,Москва,135000,2,12,"Работа в условиях многозадачности, Backend, Коммуникабельность, стрессоустойчивость, Опыт работы в команде, Высокая ответственность, Стремление к профессиональному росту, Удаленная работа, Git, Node.js, PostgreSQL, JavaScript",https://hh.ru/vacancy/54719864
52386413,Backend-developer в группу voip-разработки,Челябинск,135000,2,11,"MySQL, Git, Perl, VoIP, Internet, MariaDB, Redis, Python, Kamailio, Go, Debian",https://hh.ru/vacancy/52386413
54564075,Backend разработчик .NET (C#),Пермь,135000,2,4,"Разработка ПО, Git, ООП, С#",https://hh.ru/vacancy/54564075
54278735,Middle Back-end разработчик,Санкт-Петербург,130500,2,5,"Git, PHP, MySQL, Laravel, Docker",https://hh.ru/vacancy/54278735
54600900,Backend-разработчик JavaScript (Middle),Ростов-на-Дону,130000,2,14,"JavaScript, HTML, CSS, Git, Английский язык, Node.js, React.js, ООП, Linux, Redux, Nest.js, SQL, NoSQL, AngularJS",https://hh.ru/vacancy/54600900
54396021,Back-end разработчик / PHP программист (Symfony),Владимир,130000,2,10,"Doctrine, JS, CSS-верстка, Symfony, PHP, PostgreSQL, Redis, Memcached, Linux, RabbitMQ",https://hh.ru/vacancy/54396021
42931557,Middle Backend разработчик (игры),Санкт-Петербург,130000,2,5,"Node.js, JavaScript, Git, C++, Математическая статистика",https://hh.ru/vacancy/42931557
50990738,Web-разработчик / Backend программист Python,Калуга,130000,2,5,"Python, Git, PostgreSQL, Linux, MongoDB",https://hh.ru/vacancy/50990738
52046108,Senior Java Backend Developer,Краснодар,130000,2,4,"PostgreSQL, XML, JSON, Java Script",https://hh.ru/vacancy/52046108
54290958,PHP бэкенд разработчик на yii1,Балашиха,130000,2,5,"HTML, CSS3, PHP, jQuery, JS",https://hh.ru/vacancy/54290958
54412626,PHP бэкенд разработчик на yii1,Мытищи,130000,2,5,"HTML, CSS3, PHP, jQuery, JS",https://hh.ru/vacancy/54412626
54412625,PHP бэкенд разработчик на yii1,Балашиха,130000,2,5,"HTML, CSS3, PHP, jQuery, JS",https://hh.ru/vacancy/54412625
54412628,PHP бэкенд разработчик на yii1,Ивантеевка,130000,2,5,"HTML, CSS3, PHP, jQuery, JS",https://hh.ru/vacancy/54412628
54412627,PHP бэкенд разработчик на yii1,Королев,130000,2,5,"HTML, CSS3, PHP, jQuery, JS",https://hh.ru/vacancy/54412627
54296811,PHP бэкенд разработчик на yii1,Москва,130000,2,5,"HTML, CSS3, PHP, jQuery, JS",https://hh.ru/vacancy/54296811
54290960,PHP бэкенд разработчик на yii1,Мытищи,130000,2,5,"HTML, CSS3, PHP, jQuery, JS",https://hh.ru/vacancy/54290960
